mean,system:index,AREA,LGA,STATE,Latitude,Longitude,PERIMETER
0.058178824,72,856.333,Gwandu,Kebbi,12.46654335,4.677673563,160.225
1.18E-04,73,1112.499,Birnin-Magaji/Kiyaw,Zamfara,12.4825398,6.893006424,144.461
0.029921676,74,853.836,Kankia,Katsina,12.43209444,7.790752228,146.346
0.02086543,75,1015.738,Talata-Mafara,Zamfara,12.36682636,6.116023814,135.481
0.294839581,76,1253.632,Birnin-Kebbi,Kebbi,12.41304014,4.304825012,172.714
0.015451098,77,724.154,Gagarawa,Jigawa,12.46513378,9.527916544,117.703
0.050037596,78,546.871,Dutsinma,Katsina,12.42948478,7.519051515,119.138
-0.003684781,79,5133.506,Magumeri,Borno,12.17777926,12.67468465,305.925
0.015897551,80,800.022,Dambatta,Kano,12.39952488,8.619752326,135.711
0.017624796,81,403.585,Makoda,Kano,12.40859583,8.46151557,122.794
0.008040642,82,399.347,Kusada,Katsina,12.44139852,7.978341385,85.685
0.005036805,83,706.672,Kunchi,Kano,12.40769156,8.253341051,113.824
0.011491448,84,1297.764,Garki,Jigawa,12.37192364,9.081677703,197.344
-2.46E-04,85,1691.28,Zaki,Bauchi,12.21469196,10.38161947,254.3
-9.91E-04,86,4504.328,Tarmuwa,Yobe,12.21004838,11.82883726,319.692
0.03064773,87,1728.315,Bungudu,Zamfara,12.17479268,6.549680925,255.969
1.192634072,88,47.431,Hadejia,Jigawa,12.4271236,10.03112204,27.137
0.03630422,89,696.867,Kalgo,Kebbi,12.26319279,4.082632534,128.713
-0.007311463,90,1328.809,Ngala,Borno,12.19786195,14.27299468,153.916
0.105367528,91,500.453,Auyo,Jigawa,12.31550108,9.996892201,153.313
0.004753063,92,4995.274,Fune,Yobe,11.8165905,11.44856204,323.687
0.103958573,93,3062.505,Gusau,Zamfara,11.9126915,6.766807688,413.17
0.004250644,94,412.742,Tsanyawa,Kano,12.25019054,7.99336752,87.777
0.180126855,95,366.516,Aleiro,Kebbi,12.24898777,4.478593021,81.196
-0.003355443,96,1241.455,Kala/Balge,Borno,12.03717258,14.52584329,188.29
0.004188126,97,2980.671,Gamawa,Bauchi,12.0205131,10.6215411,244.217
0.001318548,98,517.26,Matazu,Katsina,12.24530625,7.627552973,93.649
0.057987139,99,678.662,Taura,Jigawa,12.23304748,9.342632256,138.645
0.013610783,100,1401.166,Kafin Hausa,Jigawa,12.13236422,10.01016008,151.565
0.022093655,101,610.056,Bichi,Kano,12.24283022,8.245625112,127.066
-3.30E-04,102,2414.346,Anka,Zamfara,11.95629224,6.056730414,230.913
